FID,YEAR_,DISTRICT,COSITE,ROADWAY,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,TruckAADT,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,DESC_FRM,DESC_TO,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
19909,2024,2,724119,72060138,4600,C,F,F,W,F,626,0,0.39,8,0,99.9,13.6,629.1072,N MAIN ST,I-295 SB,72,Duval,2,629.107242652257
19910,2024,3,555183,55590001,6000,F,F,F,F,A,168,0,0.883,9,0,66.1,2.8,1438.8704,CR-1568/BUCK LAKE RD,US-90/SR-10,55,Leon,3,1438.87040528895
19911,2024,4,864124,86075042,8700,F,F,F,W,F,513,0,1.292,8,0,99.9,5.9,2077.358,86075046 EB OFF,NB SR869/SAWGRASS EX,86,Broward,4,2077.3579692633
19912,2024,4,860027,86015000,40500,C,F,F,F,A,1661,9.326,9.608,9,0,55,4.1,453.8437,N/A,N/A,86,Broward,4,453.843687632057
19913,2024,5,798148,79000296,5100,S,F,F,F,2,61,0,0.926,9,0,57.7,1.2,1480.9562,MIDWAY AVE,SR-483/CLYDE MORRIS,79,Volusia,5,1480.95619012916
19914,2024,5,798229,79070007,450,S,F,F,F,2,127,0,0.089,9,0,57.7,28.3,143.3717,SR-44,79070000/OLD SR44,79,Volusia,5,143.371712966711
19915,2024,6,876289,87260516,35500,F,F,F,W,1,2308,0,0.138,8,0,99.9,6.5,222.1088,SR-91/NB,SR-826/WB,87,Miami-Dade,6,222.108789882605
19916,2024,5,792072,79110045,7200,F,F,F,W,1,410,0,0.823,9,0,99.9,5.7,1335.8612,I-4 WB,I-4 WB,79,Volusia,5,1335.86122014989
19917,2024,5,755096,75020000,49500,C,F,F,F,F,2624,10.724,11.089,9,0,52.9,5.3,587.4407,N/A,EDGEWOOD DR,75,Orange,5,587.440651559528
19918,2024,5,791009,79120000,13800,F,F,F,F,1,1863,12.277,17.59,9.5,0,57.7,13.5,8549.9725,LK ASHBY RD,SR-44,79,Volusia,5,8549.97253598519
19919,2024,3,555076,55000061,1200,C,F,F,F,F,112,0,0.347,9,0,68.8,9.3,557.3509,SIXTH AVE,TENTH AVE,55,Leon,3,557.350884402225
19920,2024,5,707042,70200500,6800,S,F,F,F,F,306,0,1.238,9,0,53.8,4.5,1991.819,SR-520,DIXON BLVD,70,Brevard,5,1991.81900565709
